title,views,dates,likes,comments
LSTM explained simply | LSTM explained | LSTM explained with example.,4.5K,2 months ago,40,11
Cost of Living in London | data scientist salary in London | Expenses in UK |Monthly expenses London,1.6K ,2 weeks ago,56,15
Session 44 - Confidence Intervals | DSMP 2023,10K ,Streamed 5 months ago,46,10
How to Pass AWS ML specialty exam | AWS machine learning specialty exam | AWS certification,3.4K ,1 month ago,11,23
XGBOOST Math Explained - Objective function derivation & Tree Growing | Step By Step,6.5K ,3 years ago,23,24
6 Activation functions for deep learning | activation function in deep learning|Activation functions,1.2K ,3 weeks ago,54,25
Data Science Job Interview – Full Mock Interview,290K ,6 months ago,34,16
Andrew Ng: Opportunities in AI - 2023,767K ,3 weeks ago,22,17
"Complete guide to outliers| how to work with outliers | Finding an outlier in dataset using python,",1.9K ,2 months ago,67,13
p-values: What they are and how to interpret them,903K ,3 years ago,43,15
CS50x 2023 - Lecture 5 - Data Structures,245K ,Streamed 11 months ago,23,21
Data Science Mock Interview for experienced candidate | Data Science Interview question and answer,6.3K ,1 year ago,56,23
Types and Problems of RNN | RNN Deep learning | RNN in machine learning | RNN architecture,1.4K ,2 months ago,22,41
Algorithms in Python – Full Course for Beginners,221K ,1 year ago,67,25
Let's Play Data Science | Data Science Quiz | Prizes to be won | Data Science Competition,1.1K ,Streamed 2 months ago,45,15
LSTM next word prediction in Python | LSTM python TensorFlow | LSTM python Keras | LSTM python,2.2K ,1 month ago,66,13
Data Science Live Quiz 2 | Data Science Quiz | Data Science Competition| Machine Learning quiz,1K ,Streamed 2 months ago,22,52
5 python packages to wow your client | Python hidden packages for data science | python data science,1.5K ,4 weeks ago,12,13
5 Math Skills Every Programmer Needs,828K ,8 months ago,78,12
"Session 40 - Probability Distribution Functions - PDF, PMF & CDF | DSMP 2023",20K ,Streamed 6 months ago,90,31
